Species.Name,Common.Name.or.Group,FaName,Eats_terrestrial_verts,Eats_fruit,Eats_arthropods,Eats_terrestrial_inverts,Eats_leaves,Eats_grains_seeds,Eats_nectar,Eats_eggs,Eats_fungi,Eats_lichen,Eats_molluscs,Eats_fish,Eats_marine_mammals,Meyer.Lab.Classification,BMR_per_mass,Diet_breadth,Trophic_level,Faith_diversity,Shannon_diversity
Dipodomys ordii,Ord Kangaroo Rat,vs_dipOrd2,0,1,1,0,1,1,0,0,0,0,0,0,0,Insectivore/Herbivore,48.8,5,2,NA,NA
Dipodomys stephensi,Stephens Kangaroo Rat,vs_HLdipSte1,0,1,1,0,1,1,0,0,0,0,0,0,0,Insectivore/Herbivore,NA,1,1,NA,NA
Fukomys damarensis,Damara mole rat,vs_HLfukDam2,0,0,1,0,1,0,0,0,0,0,0,0,0,Insectivore/Herbivore,NA,NA,NA,NA,NA
Lemur catta,Ring-tailed Lemur,vs_HLlemCat1,0,1,1,0,1,0,0,0,0,0,0,0,0,Insectivore/Herbivore,NA,4,2,37.17960584,5.78214886
Marmota marmota,Marmot,vs_HLmarMar1,0,1,1,0,1,1,0,0,0,0,0,0,0,Insectivore/Herbivore,1868,3,1,NA,NA
Perognathus longimembris,Silky Pocket Mouse,vs_HLperLonPac1,0,0,1,0,1,1,0,0,0,0,0,0,0,Insectivore/Herbivore,8.2,1,1,NA,NA
Scalopus aquaticus,Eastern American Mole,vs_HLscaAqu1,0,0,1,1,1,0,0,0,0,0,0,0,0,Insectivore/Herbivore,NA,4,2,NA,NA
Tonatia saurophila,Round-eared Bats,vs_HLtonSau1,0,1,1,0,0,0,0,0,0,0,0,0,0,Insectivore/Herbivore,NA,NA,NA,NA,NA
Uropsilus gracilis,Asiatic Shrew Mole (Sichuan and Yunnan),vs_HLuroGra1,0,0,0,1,1,0,0,0,0,0,0,0,0,Insectivore/Herbivore,NA,NA,NA,NA,NA
Zapus hudsonius,Jumping Mouse,vs_HLzapHud1,0,1,1,0,0,1,0,0,1,0,0,0,0,Insectivore/Herbivore,30,3,2,NA,NA
Noctilio leporinus,Fisherman Bats,vs_HLnocLep1,0,0,1,0,0,0,0,0,0,0,0,1,0,Rare/Ambiguous,NA,NA,NA,4.152892093,0.280923773
Acomys cahirinus,Spiny mouse,vs_HLacoCah1,1,0,0,0,1,1,0,0,0,0,0,0,0,Omnivore,NA,NA,NA,NA,NA
Ailuropoda melanoleuca,Panda,vs_HLailMel2,1,0,0,0,1,0,0,0,0,0,0,1,0,Omnivore,NA,3,1,4.83188895,2.231361696
Ailurus fulgens,Red Panda ,vs_HLailFul2,0,1,1,0,1,1,0,1,0,0,0,0,0,Omnivore,5345,3,1,83.182425,8.2450245
Aotus nancymaae,Night Monkey,vs_aotNan1,1,1,1,0,1,1,1,0,0,0,0,0,0,Omnivore,NA,2,2,NA,NA
Ateles geoffroyi,Spider Monkeys,vs_HLateGeo1,0,1,1,0,1,1,0,1,0,0,0,0,0,Omnivore,NA,2,1,39.16526979,6.076630901
Callicebus donacophilus,Titi Monkey,vs_HLpleDon1,1,1,1,1,1,0,0,1,0,0,0,0,0,Omnivore,NA,NA,NA,NA,NA
Callithrix jacchus,Marmoset,vs_HLcalJac4,1,1,1,0,1,1,1,0,0,0,0,0,0,Omnivore,190,5,2,NA,NA
Camelus bactrianus,Bactrian Camel,vs_HLcamBac1,1,0,0,0,1,0,0,0,0,0,0,1,0,Omnivore,NA,2,1,NA,NA
Camelus dromedarius,One-hump Camel,vs_HLcamDro2,1,0,0,0,1,0,0,0,0,0,0,1,0,Omnivore,407000,3,1,48.38790084,4.926369095
Camelus ferus,Ferus Camel,vs_HLcamFer3,1,0,0,0,1,0,0,0,0,0,0,1,0,Omnivore,NA,NA,NA,NA,NA
Catagonus wagneri,Chacoan Peccary,vs_HLcatWag1,1,0,0,0,1,1,0,0,0,0,0,0,0,Omnivore,NA,6,2,NA,NA
Cercocebus atys,Sooty Mangabey,vs_cerAty1,1,1,0,0,0,0,0,0,0,0,0,0,0,Omnivore,NA,NA,NA,NA,NA
Cercopithecus neglectus,Guenon,vs_HLcerNeg1,1,1,1,0,1,1,0,1,0,0,0,0,0,Omnivore,NA,3,2,39.1050529,6.44700264
Chlorocebus sabaeus,Green monkey,vs_chlSab2,1,1,1,0,1,1,0,1,0,0,0,0,0,Omnivore,NA,NA,NA,NA,NA
Dasyprocta punctata,Agouti,vs_HLdasPun1,0,1,1,0,1,1,0,0,0,0,0,0,0,Omnivore,NA,3,1,NA,NA
Erythrocebus patas,Red Guenon,vs_HLeryPat1,1,1,1,0,1,1,0,1,1,0,0,0,0,Omnivore,NA,4,2,28.13350665,5.64223864
Glis glis,Fat dormouse,vs_HLgliGli1,1,1,1,0,0,1,0,0,0,0,0,0,0,Omnivore,NA,NA,NA,NA,NA
Graphiurus murinus,African dormouse,vs_HLgraMur1,1,1,1,0,0,1,0,1,0,0,0,0,0,Omnivore,NA,4,2,NA,NA
Helogale parvula,Dwarf Mongoose,vs_HLhelPar1,1,1,1,0,0,0,0,1,0,0,0,0,0,Omnivore,NA,1,3,27.69269,5.860757
Hystrix cristata,Porcupine,vs_HLhysCri1,1,1,1,0,1,1,0,0,0,0,0,0,0,Omnivore,NA,6,2,NA,NA
Ictidomys tridecemlineatus,Ground Squirrel ,vs_speTri2,1,0,1,1,1,1,0,1,1,0,0,0,0,Omnivore,NA,NA,NA,NA,NA
Lepus americanus,Hare,vs_HLlepAme1,1,0,0,0,1,0,0,0,0,0,0,0,0,Omnivore,1562.8,3,1,NA,NA
Macaca fascicularis,Crab-eating macaque,vs_HLmacFas6,1,1,1,1,1,1,0,1,0,0,1,1,0,Omnivore,NA,3,2,NA,NA
Macaca mulatta,Rhesus Macaca,vs_rheMac10,1,1,1,1,1,1,0,0,0,0,0,0,0,Omnivore,6225,1,1,NA,NA
Macaca nemestrina,Southern Pig-tailed Macaca,vs_macNem1,1,1,1,1,1,1,0,0,0,0,0,0,0,Omnivore,NA,2,1,NA,NA
Mandrillus leucophaeus,Drill,vs_manLeu1,1,1,0,1,1,1,0,0,1,0,0,0,0,Omnivore,NA,3,2,41.98851209,7.108735333
Mellivora capensis,Honey Badger,vs_HLmelCap1,1,0,1,0,1,0,0,0,0,0,0,0,0,Omnivore,NA,6,2,NA,NA
Mesocricetus auratus,Golden hamster,vs_mesAur1,1,1,0,0,1,1,0,0,0,0,0,0,0,Omnivore,NA,4,2,NA,NA
Microcebus murinus,Mouse Lemur,vs_micMur3,1,1,1,0,1,0,1,0,0,0,0,0,0,Omnivore,101.05,5,2,33.21537251,5.97560595
Mirza coquereli,Coquerel's Dwarf Lemur,vs_HLmirCoq1,1,1,1,0,0,0,1,1,0,0,0,0,0,Omnivore,NA,4,2,NA,NA
Muscardinus avellanarius,Common dormouse,vs_HLmusAve1,1,1,1,0,0,1,0,1,0,0,0,0,0,Omnivore,NA,8,2,NA,NA
Nycticebus coucang,Slow Loris,vs_HLnycCou1,1,1,1,0,0,0,0,0,0,0,1,0,0,Omnivore,960,6,2,NA,NA
Ondatra zibethicus,Muskrat,vs_HLondZib1,1,0,0,0,1,0,0,0,0,0,0,0,0,Omnivore,1067.3,5,2,NA,NA
Onychomys torridus,Southern grasshopper mouse,vs_HLonyTor1,1,0,1,0,1,0,0,0,0,0,0,0,0,Omnivore,19.1,1,3,NA,NA
Pan paniscus,Bonobo,vs_panPan3,1,1,0,1,1,1,0,0,0,0,0,0,0,Omnivore,NA,6,2,NA,NA
Pan troglodytes,Chimp,vs_panTro6,1,1,1,0,1,1,1,1,0,0,0,0,0,Omnivore,34150,6,2,42.83128572,6.481463239
Paradoxurus hermaphroditus,Palm Civet,vs_HLparHer1,1,1,1,0,0,1,0,0,0,0,0,0,0,Omnivore,3205,6,2,NA,NA
Peromyscus maniculatus,Deer mouse,vs_HLperManBai2,1,1,1,1,0,1,0,0,0,0,0,0,0,Omnivore,19.2,4,2,NA,NA
Pithecia pithecia,Saki,vs_HLpitPit1,1,1,0,0,1,0,0,0,0,0,0,0,0,Omnivore,NA,2,1,45.06487509,6.10907188
Pongo abelii,Orangutan,vs_ponAbe3,1,1,1,0,1,1,0,1,0,0,0,0,0,Omnivore,NA,NA,NA,39.307795,5.252809
Saguinus imperator,Long-tusked Tamarins,vs_HLsagImp1,1,1,1,0,1,0,1,1,0,0,0,0,0,Omnivore,NA,2,2,15.86756231,4.544678428
Saimiri boliviensis,Squirrel monkey,vs_HLsaiBol1,1,1,1,0,1,1,1,0,0,0,0,0,0,Omnivore,NA,NA,NA,15.67051581,3.060132662
Sigmodon hispidus,Cotton Rat,vs_HLsigHis1,1,0,1,0,1,0,0,1,0,0,0,0,0,Omnivore,110.05,5,2,NA,NA
Solenodon paradoxus,Solenodons,vs_HLsolPar1,1,1,0,1,1,0,0,1,0,0,0,0,0,Omnivore,NA,2,3,NA,NA
