Order,Family,Genus,Species,Binomial,Species.Name,vertebrate,invertebrate,fibrousplant,nonfibrousplant,Adult_bodymass_g,Diet_category,Adult_bodymass_kg,Diet category based on prey type
Artiodactyla,Cervidae,Ozotoceros,bezoarticus,Ozotoceros bezoarticus,Ozotoceros_bezoarticus,0,0,1,0,40000,Fibrous,40,Herbivore
Artiodactyla,Cervidae,Pudu,mephistophiles,Pudu mephistophiles,Pudu_mephistophiles,0,0,1,0,9600,Fibrous,9.6,Herbivore
Artiodactyla,Cervidae,Pudu,puda,Pudu puda,Pudu_puda,0,0,1,1,9749.9,Nonfibrous/Fibrous,9.7499,Herbivore
Artiodactyla,Cervidae,Rangifer,tarandus,Rangifer tarandus,Rangifer_tarandus,0,0,1,0,86034,Fibrous,86.034,Herbivore
Artiodactyla,Cervidae,Rucervus,duvaucelii,Rucervus duvaucelii,Rucervus_duvaucelii,0,0,1,0,143000,Fibrous,143,Herbivore
Artiodactyla,Cervidae,Rucervus,eldii,Rucervus eldii,Rucervus_eldii,0,0,1,1,73000,Nonfibrous/Fibrous,73,Herbivore
Artiodactyla,Cervidae,Rusa,timorensis,Rusa timorensis,Rusa_timorensis,0,0,1,0,63000,Fibrous,63,Herbivore
Artiodactyla,Cervidae,Rusa,unicolor,Rusa unicolor,Rusa_unicolor,0,0,1,1,169000,Nonfibrous/Fibrous,169,Herbivore
Artiodactyla,Giraffidae,Giraffa,camelopardalis,Giraffa camelopardalis,Giraffa_camelopardalis,0,0,1,0,899994.8,Fibrous,899.9948,Herbivore
Artiodactyla,Giraffidae,Okapia,johnstoni,Okapia johnstoni,Okapia_johnstoni,0,0,1,1,230001.1,Nonfibrous/Fibrous,230.0011,Herbivore
Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,Hippopotamus amphibius,Hippopotamus_amphibius,0,0,1,0,1417490,Fibrous,1417.49,Herbivore
Artiodactyla,Moschidae,Moschus,chrysogaster,Moschus chrysogaster,Moschus_chrysogaster,0,0,1,1,14500,Nonfibrous/Fibrous,14.5,Herbivore
Artiodactyla,Moschidae,Moschus,fuscus,Moschus fuscus,Moschus_fuscus,0,0,1,1,12500,Nonfibrous/Fibrous,12.5,Herbivore
Artiodactyla,Moschidae,Moschus,moschiferus,Moschus moschiferus,Moschus_moschiferus,0,0,1,1,13000,Nonfibrous/Fibrous,13,Herbivore
Artiodactyla,Suidae,Hylochoerus,meinertzhageni,Hylochoerus meinertzhageni,Hylochoerus_meinertzhageni,0,0,1,1,188500,Nonfibrous/Fibrous,188.5,Herbivore
Artiodactyla,Suidae,Phacochoerus,aethiopicus,Phacochoerus aethiopicus,Phacochoerus_aethiopicus,0,0,1,1,71000.3,Nonfibrous/Fibrous,71.0003,Herbivore
Artiodactyla,Suidae,Phacochoerus,africanus,Phacochoerus africanus,Phacochoerus_africanus,0,0,1,1,82500,Nonfibrous/Fibrous,82.5,Herbivore
Artiodactyla,Tayassuidae,Catagonus,wagneri,Catagonus wagneri,Catagonus_wagneri,0,0,1,1,35566.4,Nonfibrous/Fibrous,35.5664,Herbivore
Artiodactyla,Tragulidae,Hyemoschus,aquaticus,Hyemoschus aquaticus,Hyemoschus_aquaticus,0,0,1,0,10850,Fibrous,10.85,Herbivore
Artiodactyla,Tragulidae,Moschiola,meminna,Moschiola meminna,Moschiola_meminna,0,0,1,1,2938,Nonfibrous/Fibrous,2.938,Herbivore
Artiodactyla,Tragulidae,Tragulus,javanicus,Tragulus javanicus,Tragulus_javanicus,0,0,1,1,2775,Nonfibrous/Fibrous,2.775,Herbivore
Carnivora,Procyonidae,Bassaricyon,gabbii,Bassaricyon gabbii,Bassaricyon_gabbii,0,0,0,1,1250,Nonfibrous,1.25,Herbivore
Carnivora,Viverridae,Paradoxurus,zeylonensis,Paradoxurus zeylonensis,Paradoxurus_zeylonensis,0,0,1,1,2821.3,Nonfibrous/Fibrous,2.8213,Herbivore
Chiroptera,Phyllostomidae,Ariteus,flavescens,Ariteus flavescens,Ariteus_flavescens,0,0,0,1,11.15,Nonfibrous,0.01115,Herbivore
Chiroptera,Phyllostomidae,Artibeus,fimbriatus,Artibeus fimbriatus,Artibeus_fimbriatus,0,0,0,1,63.9,Nonfibrous,0.0639,Herbivore
Chiroptera,Phyllostomidae,Artibeus,glaucus,Artibeus glaucus,Artibeus_glaucus,0,0,0,1,11.1,Nonfibrous,0.0111,Herbivore
Chiroptera,Phyllostomidae,Artibeus,jamaicensis,Artibeus jamaicensis,Artibeus_jamaicensis,0,0,1,1,42.2,Nonfibrous/Fibrous,0.0422,Herbivore
Chiroptera,Phyllostomidae,Artibeus,lituratus,Artibeus lituratus,Artibeus_lituratus,0,0,0,1,60.3,Nonfibrous,0.0603,Herbivore
Chiroptera,Phyllostomidae,Artibeus,phaeotis,Artibeus phaeotis,Artibeus_phaeotis,0,0,0,1,11.6,Nonfibrous,0.0116,Herbivore
Chiroptera,Phyllostomidae,Carollia,brevicauda,Carollia brevicauda,Carollia_brevicauda,0,0,0,1,14.4,Nonfibrous,0.0144,Herbivore
Chiroptera,Phyllostomidae,Carollia,castanea,Carollia castanea,Carollia_castanea,0,0,0,1,13.3,Nonfibrous,0.0133,Herbivore
Chiroptera,Phyllostomidae,Centurio,senex,Centurio senex,Centurio_senex,0,0,0,1,21.3,Nonfibrous,0.0213,Herbivore
