Appendix S1. MammalDIET 2 dataset: dietary information for additional 1261 species not covered by Kissling et al. (2014).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binomial,Order,Family,Genus,Species,Animal,Vertebrate,Mammal,Bird,Herptile,Fish,Invertebrate,Plant,Seed,Fruit,Nectar,Root,Leaf,Woody,Herbaceous,Other,TrophicLevel,MammalEater,Insectivore,Frugivore,Granivore,Folivore,Bibliography,,,,,,,,,,,,,,,,,,,,,,,,,
Rhinolophus megaphyllus,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,megaphyllus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Rhinolophus philippinensis,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,philippinensis,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Saccolaimus flaviventris,CHIROPTERA,EMBALLONURIDAE,Saccolaimus,flaviventris,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Saccolaimus mixtus,CHIROPTERA,EMBALLONURIDAE,Saccolaimus,mixtus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Scotorepens sanborni,CHIROPTERA,VESPERTILIONIDAE,Scotorepens,sanborni,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Tadarida kuboriensis,CHIROPTERA,MOLOSSIDAE,Tadarida,kuboriensis,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Taphozous australis,CHIROPTERA,EMBALLONURIDAE,Taphozous,australis,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Crocidura russula,EULIPOTYPHLA,SORICIDAE,Crocidura,russula,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Brahmi, K., Aulagnier, S., Slimani, S., Mann, C. S., Doumandji, S., & Baziz, B. 2012. Diet of the Greater white-toothed shrew Crocidura russula (Mammalia: Soricidae) in Grande Kabylie (Algeria). Italian Journal of Zoology, 79(2), 239-245.",,,,,,,,,,,,,,,,,,,,,,,,,
Alionycteris paucidentata,CHIROPTERA,PTEROPODIDAE,Alionycteris,paucidentata,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Herbivore,0,0,1,0,0,"Burton and Burton. 1987. Rare Mammals of the World. The Stephen Greene Press, MA.",,,,,,,,,,,,,,,,,,,,,,,,,
Allactaga tetradactyla,RODENTIA,DIPODIDAE,Allactaga,tetradactyla,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,Omnivore,0,1,0,1,0,"Burton and Burton. 1987. Rare Mammals of the World. The Stephen Greene Press, MA.",,,,,,,,,,,,,,,,,,,,,,,,,
